How is a 'systematic review' defined in the context of health care?,"It is the application of scientific strategies to limit bias through the systematic assembly, critical appraisal, and synthesis of all relevant studies on a specific topic."
What is the primary difference between a systematic review and a traditional narrative review?,Systematic reviews include a methods section that explicitly states the research question and the criteria for selecting and appraising studies.
What is 'meta-analysis'?,It is a quantitative statistical method used to combine and summarise the results of several independent studies identified in a systematic review.
"In Evidence-Based Medicine (EBM), what does the 'P' in the PICO acronym represent?",Patient population or problem.
"In the PICO acronym for formulating clinical questions, what does the 'I' stand for?",Intervention.
"Within the PICO framework, what does the 'C' represent?","Comparison, controls, or standard therapy."
What outcome-related component does the 'O' represent in the PICO acronym?,The improved result or clinical outcome being measured.
Which international organisation is dedicated to maintaining and disseminating systematic reviews of health care interventions?,The Cochrane Collaboration.
What is the specific purpose of the Database of Abstracts of Reviews of Effects (DARE)?,It provides a regularly updated source of structured summaries of systematic reviews from various sources.
What assumption underlies a 'fixed-effect' meta-analysis model?,It assumes the true treatment effect is the same in every study and that observed variation is due solely to sampling error.
How does a 'random-effects' meta-analysis model differ from a fixed-effect model?,It assumes the true treatment effects vary between studies and incorporates this between-study heterogeneity into the analysis.
What is the standard graphical display used to present the results of a meta-analysis?,A forest plot.
"In a forest plot, what does the area of each box represent?",The weight assigned to that individual study in the meta-analysis.
What does the diamond at the bottom of a forest plot represent?,The combined summary estimate and its corresponding confidence interval.
Which statistical test is commonly used to assess the presence of heterogeneity between studies in a meta-analysis?,The \chi^2 (Cochran's Q) test.
What does a significant P-value in a \chi^2 test of heterogeneity indicate?,There is strong evidence that the treatment effects differ across the included studies.
"In random-effects meta-analysis, what parameter represents the between-study variance?",\tau^2 (tau-squared).
Which widely used method for estimating between-study variance was proposed in 1986?,The DerSimonian and Laird method.
What is 'publication bias'?,The tendency for studies with positive or statistically significant results to be published more readily than those with negative or null results.
What graphical tool is used to detect potential publication bias or 'small study effects'?,A funnel plot.
"In the absence of bias, what shape should a funnel plot ideally form?",A symmetrical inverted funnel.
What does asymmetry in a funnel plot suggest about the studies in a meta-analysis?,"It indicates potential bias, often because smaller studies showing no beneficial effect are missing or unpublished."
What is the purpose of 'meta-regression'?,To examine associations between specific study characteristics and the observed treatment effects.
Which statistical test for funnel plot asymmetry involves regressing the log odds ratio against its standard error?,Egger's test.
What is a major limitation of meta-analyses based on observational studies compared to randomised trials?,They are more susceptible to bias from confounding factors that may not be adequately controlled.
