Metric: Recall rate in e-DSS.,The portion of an expert's diagnoses that are correctly recommended by the system.
Metric: Precision rate in e-DSS.,The portion of diagnoses recommended by the system that are actually made by an expert.
What condition must be met for 100 percent accuracy in an e-DSS according to primary diagnosis measurements?,The primary diagnosis of an expert must be included in the system's recommendation.
"In the context of evidence-based health care, what has largely replaced mentor advice and personal experience in clinical decision-making?",The rules of evidence used to interpret medical literature and controlled clinical trials.
Term: Systematic review.,Definition: A structured and concise summary of two or more original clinical studies designed to address a focused question.
When is the term 'meta-analysis' applied to a systematic review?,When quantitative analysis is performed to combine the results of multiple studies.
What are the four relevant markers of effect for dichotomous outcomes in clinical epidemiology?,"Relative risk, relative risk reduction, absolute risk reduction, and number needed to treat."
Formula for Relative Risk (RR) using Treatment A and Treatment B mortality rates.,RR = \frac{A}{B}.
How is 'Absolute Risk Reduction' (ARR) calculated given mortality percentages for Treatments A and B?,ARR = A - B.
Formula for Number Needed to Treat (NNT) using the Absolute Risk Reduction (ARR).,NNT = \frac{1}{ARR}.
What effect does increasing the threshold level (t) have on the risk of identifying a specific patient in integrated views?,The risk of identifying a patient decreases as t increases.
"In medical statistics, what is the distinction between an exposure variable and an outcome variable?",An exposure variable influences the occurrence of the outcome variable being studied.
What is the primary purpose of using a confidence interval in a medical study?,To provide a range of values within which the true population association is likely to lie.
Definition: Null Hypothesis (H_0).,The assumption that there is no effect of a treatment or no association between variables in the population.
What does a P-value represent regarding the null hypothesis?,"The strength of evidence against the null hypothesis, with smaller values indicating stronger evidence."
Formula for the kth percentile of a distribution with n observations.,k\text{th percentile} = \frac{k \times (n + 1)}{100}.
How is the 'Correlation Coefficient' (r) used to interpret the relationship between two variables?,It measures the strength and direction of the linear association between the outcome and exposure variables.
A Risk Ratio (RR) of 1 signifies what relationship between a risk factor and a disease?,There is no association between the risk factor and the disease.
How is 'Cumulative Incidence' (Risk) estimated in a study population?,The number of new cases in a period divided by the number of persons initially at risk.
