"In survival analysis, what does the 'hazard' ($h(t)$) represent?",The instantaneous rate of the event occurring at time $t$.
What is the 'survivor function' ($S(t)$)?,The probability that an individual has not experienced the event of interest up to and including time $t$.
What is the fundamental assumption underlying the Cox regression model?,The proportional hazards assumption.
What is the mathematical form of the Cox proportional hazards model on the log scale?,$\log(h(t)) = \log(h_0(t)) + \beta_1x_1 + \beta_2x_2 + \dots + \beta_px_p$
"In the Cox model, what does the term $h_0(t)$ represent?","The baseline hazard, which is the hazard for an individual in whom all exposure variables equal zero."
How is the hazard ratio (HR) for a single binary exposure variable calculated from the Cox regression coefficient $\beta_1$?,$\text{HR} = \exp(\beta_1)$
What does a positive regression coefficient ($\beta > 0$) in a Cox model indicate about the hazard?,It indicates an increased hazard of the event occurring.
How do the effects of different exposure variables combine in a standard Cox regression model?,They combine in a multiplicative manner.
What does the 'proportional hazards assumption' imply about the hazard ratio between two groups over time?,The ratio remains constant over the duration of follow-up.
Why is the baseline hazard $h_0(t)$ typically not displayed in Cox regression computer output?,It is not estimated directly because the analysis is based on conditional likelihood estimation within risk sets.
What statistical measure is used to investigate the dependence of a regression on individual influential observations?,Cook's D
What term refers to the group of subjects still being followed up at the time a specific event occurs?,The risk set
How can the proportional hazards assumption be examined graphically using the cumulative hazard function $H(t)$?,By checking if the hazard function (the slope of the graph of cumulative hazard against time) varies consistently between groups.
What is the Nelson-Aalen estimate used for in survival analysis?,Estimating the cumulative hazard function $H(t)$.
Formula: Nelson-Aalen estimate of the cumulative hazard $H(t)$,"$H(t) = \sum \frac{d_i}{n_i}$, summed over all times up to and including $t$."
"In the context of survival analysis, what is the 'cumulative hazard function' ($H(t)$)?",The total hazard experienced up to time $t$.
What is the relationship between the survivor function $S(t)$ and the cumulative hazard $H(t)$?,$S(t) = e^{-H(t)}$
"If the event rate $\lambda$ is constant over time, what is the risk up to time $t$?",$\text{Risk} = 1 - e^{-\lambda t}$
Which non-parametric test is used to compare the survival patterns of two or more groups?,The log-rank test (or Mantel-Cox test).
What is the Mantel-Cox estimate of the hazard ratio ($\text{HR}_{MC}$)?,$\text{HR}_{MC} = Q/R$
What does a violation of the proportional hazards assumption indicate about the exposure effect?,"The exposure effect (hazard ratio) changes over time, representing an interaction between the exposure and time."
What are the two common analysis options when evidence of non-proportional hazards is found for a main exposure?,Including an exposure-time interaction term or splitting the follow-up time.
How can one adjust for a confounding variable that violates the proportional hazards assumption?,By stratifying the Cox regression according to the values of that confounding variable.
"In Cox regression, what is the most common choice for the time axis ($t=0$)?",Time from entry to the study.
What is 'delayed entry' in a survival analysis?,When subjects enter the study at different times or ages relative to the chosen time axis.
How does Poisson regression differ from Cox regression regarding the hazard rate?,"Poisson regression assumes rates are constant within time periods, while Cox regression makes no assumptions about how the hazard changes over time."
"What type of survival model assumes a specific mathematical function (e.g., exponential) for the baseline survivor function?",Parametric survival models.
How is the 95% confidence interval for a hazard ratio derived from the standard error of the log hazard ratio?,"$\text{HR} / \text{EF}$ to $\text{HR} \times \text{EF}$, where $\text{EF} = \exp(1.96 \times \text{s.e.})$"
"In computer output for a Cox model, what does the $z$ statistic test?",The null hypothesis that the regression coefficient is equal to zero.
What is the purpose of adding interaction terms to a multivariable Cox model?,To examine if the effect of one exposure variable depends on the level of another variable.
How is the hazard ratio interpreted for a numerical exposure variable in a Cox model?,It is the constant increase in the log hazard per unit increase in the exposure variable.
What is the value of the survivor function $S(t)$ at time $t=0$?,1
Which regression model is used to investigate the link between several exposure variables and the time to a binary event?,Cox regression (or proportional hazards regression).
"In survival data, what does 'censoring' occur?",When an individual is followed for a period but the event of interest has not yet happened by the end of that period.
What is the link between the log-rank test and Cox regression?,"The log-rank test is the non-parametric equivalent for comparing groups, while Cox regression extends this to include multiple exposures."
What is the 'linear predictor' in a Cox proportional hazards model?,The quantity $\beta_1x_1 + \beta_2x_2 + \dots + \beta_px_p$.
How is a hazard ratio of 0.5 interpreted?,The instantaneous rate of the event in the exposed group is half that of the unexposed group.
What does 'attained age' mean when used as the time axis in survival analysis?,"The risk sets are constructed comparing individuals of the same age, regardless of when they entered the study."
What is a 'time-varying exposure'?,An exposure variable whose value is measured more than once and can change over the course of follow-up.
"Under the assumption of constant event rate $\lambda$, what is the average survival time?",$1/\lambda$
"In a log-rank test, how are 'expected numbers' ($E_{1i}$) calculated for each table?","$E_{1i} = \frac{d_i \times n_{1i}}{n_i}$, where $d_i$ is total events and $n_{1i}$ is number exposed at time $i$."
How many degrees of freedom does the Mantel-Cox $\chi^2$ statistic have when comparing two groups?,1
