"In medical statistics, what is an 'exposure variable'?","A variable that influences disease outcomes, such as a risk factor or a medical treatment."
What is the 'outcome variable' in a clinical study?,The variable whose variation or occurrence researchers are seeking to understand.
What is the primary purpose of a 'confidence interval'?,To provide a range of values within which the size of an association in the population is likely to lie.
What does a '$P$-value' assess in statistical analysis?,The strength of the evidence against the null hypothesis.
Define a 'null hypothesis' in the context of medical research.,The specific hypothesis that there is no difference between groups or no association between variables.
"According to the philosopher Karl Popper, science is a process of _____ hypotheses.",disproving
"In a linear regression equation $y = \beta_0 + \beta_1 x$, what does the 'outcome variable' correspond to?",The $y$-variable (or dependent variable).
"In a linear regression equation $y = \beta_0 + \beta_1 x$, what does the 'exposure variable' correspond to?",The $x$-variable (or independent variable).
What characterizes a 'binary outcome'?,"An outcome with only two possibilities, such as the occurrence or absence of an event."
Define a 'confounding variable'.,A factor associated with both the exposure and the outcome that is not on the causal pathway between them.
What is 'confounding bias'?,A distortion in the estimated association between exposure and outcome caused by an unadjusted third factor.
How does 'stratification' control for confounding in data analysis?,By restricting comparisons to individuals who have the same value for the confounding variable.
The subsets defined by the levels of a confounding variable $C$ during stratification are called _____.,strata
Why is 'randomisation' used in clinical trials regarding confounding?,"To ensure treatment and control groups are similar in all respects except the intervention, thus avoiding confounding."
What is the 'Mantel-Haenszel method' used for?,To control for confounding via stratification when both exposure and outcome are binary variables.
What defines a 'cohort study'?,A longitudinal study where a group of individuals is followed over time to record the incidence of outcomes.
In which study design is sampling based on 'disease status' rather than exposure status?,Case-control study
What is the primary principle for selecting 'controls' in a case-control study?,They should represent the population at risk who would have been included as cases if they developed the disease.
Define a 'cross-sectional study'.,A study carried out at just one point in time or over a very short period.
What is a 'matched design' in a case-control study?,A design where controls are deliberately chosen to have the same values for major confounding variables as the cases.
What is an 'intention to treat' (ITT) analysis?,An analysis where participants are compared within the groups to which they were originally randomly allocated.
Which regression model is most appropriate for a 'numerical' outcome variable?,Linear regression
Which regression model is most appropriate for a 'binary' outcome variable?,Logistic regression
Which regression model is most appropriate for analysing 'rates' of disease?,Poisson regression
Which regression model is most appropriate for 'survival' data (time-to-event outcomes)?,Cox regression (proportional hazards model)
Formula: Risk Ratio ($RR$),$RR = \frac{\text{risk in exposed group}}{\text{risk in unexposed group}}$
Formula: Odds Ratio ($OR$),$OR = \frac{\text{odds of disease in exposed group}}{\text{odds of disease in unexposed group}}$
Under what specific condition is the Odds Ratio ($OR$) numerically equal to the Risk Ratio ($RR$)?,When the disease is rare.
What is 'attributable risk' ($AR$)?,The difference between the risk in the exposed group and the risk in the unexposed group.
What is 'population attributable risk' ($PAR$)?,The proportion of the disease incidence in the total population that is due to the exposure.
Formula: Number Needed to Treat ($NNT$),$NNT = \frac{1}{\text{Risk Difference}}$
What does the 'Number Needed to Harm' ($NNH$) indicate?,The number of patients who would need to be treated for one additional person to experience an adverse event.
What is 'meta-analysis'?,The statistical method used to combine effect estimates from several different studies.
