"In medical research, what is the term for a variable that is the focus of attention and whose variation we seek to understand?",Outcome variable (also known as the response or dependent variable).
"What type of variable is 'smear result' when categorised as negative, uncertain, or positive?",Ordered categorical variable.
"A variable that can only take one of two possible values, such as 'dead' or 'alive', is classified as a _____ variable.",Binary
"In a clinical trial, the 'treatment group' is considered which type of variable?",Exposure variable (also known as the explanatory or independent variable).
How is a 'derived variable' defined in statistical analysis?,"A variable created by calculating or categorising information from originally recorded variables, such as age derived from date of birth."
What is the primary purpose of a 'null hypothesis' in a statistical test?,"To postulate that there is no true association or difference between groups in the population, with any observed difference being due to chance."
"The probability of obtaining a result at least as extreme as the one observed, assuming the null hypothesis is true, is called the _____.",P-value
What information does a '95% confidence interval' provide regarding a population parameter?,"The range of values within which we are 95% confident the true population parameter lies, accounting for sampling variation."
"In diagnostic test analysis, what does 'sensitivity' measure?",The proportion of true positives correctly identified by the test.
"In diagnostic test analysis, what does 'specificity' measure?",The proportion of true negatives correctly identified by the test.
How is 'Positive Predictive Value' (PPV) calculated?,The proportion of individuals with a positive test result who truly have the disease.
How is 'Negative Predictive Value' (NPV) calculated?,The proportion of individuals with a negative test result who truly do not have the disease.
What happens to the PPV of a test if the prevalence of the disease in the population decreases?,The Positive Predictive Value (PPV) decreases.
What is plotted on the horizontal axis of a Receiver Operating Characteristic (ROC) curve?,1 - Specificity (the false positive rate).
What is plotted on the vertical axis of a Receiver Operating Characteristic (ROC) curve?,Sensitivity (the true positive rate).
"In a ROC curve, an 'Area Under the Curve' (AUC) of 0.5 indicates what level of discrimination?","No discrimination at all, equivalent to random guessing."
What AUC value represents a diagnostic test with perfect discrimination?,1.0
What is the purpose of the 'Kappa' (\\kappa) statistic in medical measurements?,"To measure the level of agreement between two observers or readings, beyond what is expected by chance alone."
\\kappa = \\frac{A_{obs} - A_{exp}}{1 - A_{exp}},"The formula for the Kappa statistic, where A_{obs} is observed agreement and A_{exp} is expected agreement."
"According to Landis and Koch, what does a Kappa value greater than 0.75 signify?",Excellent agreement.
A Kappa value between 0.4 and 0.75 represents _____ agreement.,Fair to good
What is the 'Gold Standard' in the context of diagnostic test evaluation?,The best available definitive assessment used to determine the true disease status of an individual.
What term describes the phenomenon where an estimated regression coefficient is biased towards the null because of measurement error in the exposure variable?,Regression dilution bias.
What is 'Regression to the Mean'?,The tendency for an extreme initial measurement to be closer to the average on a subsequent measurement due to random error.
"In Evidence-Based Medicine (EBM), what do the letters in the 'PICO' acronym represent?","Patient/Population, Intervention, Comparison/Control, and Outcome."
What is the difference between a systematic review and a meta-analysis?,"A systematic review is a qualitative synthesis of studies, whereas a meta-analysis uses statistical methods to quantitatively combine results."
What does a 'Risk Ratio' (Relative Risk) of 2.0 indicate about the exposed group compared to the unexposed group?,The risk of the outcome is twice as high in the exposed group.
Formula: \\frac{d_1 / h_1}{d_0 / h_0},"The formula for the Odds Ratio (OR), representing the odds of disease in the exposed group divided by the odds in the unexposed group."
What is the 'Number Needed to Treat' (NNT)?,The number of patients who need to receive a treatment for one additional patient to benefit compared to the control.
Formula: NNT = \\frac{1}{ARR},"The formula for Number Needed to Treat, where ARR is the Absolute Risk Reduction."
Why is 'Blinding' used in randomised controlled trials?,"To prevent bias by ensuring that patients, health workers, and study personnel do not know which treatment was assigned."
What is an 'Intention to Treat' (ITT) analysis?,"An analysis where participants are analysed in the groups to which they were originally randomised, regardless of the treatment they actually received."
"In e-health systems, what is the primary function of a Laboratory Information System (LIS)?","To report on biological specimens and provide clinicians with reference ranges for high, low, or normal test values."
