On what principle is the consensus-based model in e-health-care diagnosis theoretically based?,The theoretical adequacy of a consensus position established by the voting of multiple experts.
"In a consensus-based diagnostic model, how does each response differ from the probabilistic summation approach?",Each response independently affects the likelihood of a diagnosis rather than being a simple additive factor.
What is the first prerequisite for a consensus-based voting algorithm to work accurately regarding rule credibility?,"Each rule must have a high level of credibility, specifically a greater than $50\%$ chance of being true."
What assumption does the consensus-based diagnostic algorithm make regarding the prior probabilities of diagnoses?,All diagnoses should have similar incidence rates in the general population.
"According to Proposition 2 in e-health inference, if $p > 0.5$ and prior probabilities are equal, which diagnosis is most likely to be true?",The diagnosis that receives the highest number of votes from the observation set.
"In clinical epidemiology, what does the marker 'NNT' represent?",Number Needed to Treat.
What is the formula for calculating Relative Risk ($RR$) given outcomes $A$ and $B$?,$RR = \frac{A}{B}$
How is Absolute Risk Reduction ($ARR$) calculated in dichotomous outcomes?,$ARR = A - B$
What is the mathematical relationship between $NNT$ and $ARR$?,$NNT = \frac{1}{ARR}$
How is Relative Risk Reduction ($RRR$) defined using Relative Risk ($RR$)?,$RRR = 1 - RR$
Which online interactive tool aids in pediatric differential diagnosis and treatment algorithms?,Isabel.
"According to the Ottawa rule, what is the minimum number of questions needed to predict the necessity of an ankle radiograph?",Three.
What lies at the heart of statistics according to Kirkwood and Sterne?,The interpretation of data in the presence of intrinsic biological variability.
Name the three types of outcome variables categorized in medical statistics.,"Numerical outcomes, binary outcomes, and rates or survival times measured longitudinally."
What is the primary aim of evidence-based medicine ($EBM$) in a clinical context?,Judging the relevance of average treatment effects from large populations to the management of a specific patient.
Define a 'systematic review' in medical research.,"A systematic assembly, critical appraisal, and synthesis of all relevant studies on a specific topic."
What term describes the statistical methods used for combining the results of multiple studies?,Meta-analysis.
"In data definition, how is an 'ordered categorical' variable distinct from a 'categorical' variable?","It has categories with a clear, inherent ordering, such as age groups or disease stages."
What is the formula for calculating the $k$th percentile for a distribution with $n$ observations?,$k$th percentile $= \frac{k \times (n + 1)}{100}$ value of ordered observations.
How does the Central Limit Theorem describe the sampling distribution of a mean as sample size increases?,The sampling distribution tends towards a normal distribution regardless of the underlying distribution's shape.
"In hypothesis testing, what is a 'null hypothesis'?",A statement assuming there is no difference between groups or no association between variables in the population.
What does a $P$-value measure in the context of a null hypothesis?,The strength of the evidence against the null hypothesis.
What is the primary purpose of a confidence interval?,To provide a range of values within which the true population association is likely to lie.
Which regression model is commonly used to analyse binary outcomes in modern medical statistics?,Logistic regression.
What is the fundamental measure of disease frequency used in longitudinal follow-up studies?,Rates.
