"In medical statistics, what is a 'confounding variable'?",A variable related to both the exposure and the outcome that can bias the observed association.
"To be considered a confounder, a variable must be associated with the exposure and _____.",Independently influence the disease outcome.
Why is a variable that is part of the causal chain between exposure and outcome not considered a confounder?,Adjusting for it would lead to an underestimate of the exposure's total effect.
What is the process of 'stratification' in the context of controlling for confounding?,Restricting comparisons to individuals who share the same value of the confounding variable.
The method used to combine evidence from separate strata to produce a summary odds ratio is the _____ method.,Mantel-Haenszel
What is the primary assumption when using Mantel-Haenszel methods to control for confounding?,The exposure-disease association is the same across all strata.
"In stratification, what term describes a situation where the effect of an exposure varies depending on the level of a third variable?",Effect modification (or interaction).
Term: Heterogeneity between strata,Definition: A condition where estimates of the association between exposure and disease differ significantly across different subgroups.
Which statistical test is used to check for effect modification across different strata?,The $\chi^2$ test of heterogeneity.
How does increasing the number of confounding variables affect Mantel-Haenszel stratification?,"The number of strata increases rapidly, making stratum-specific estimates impossible due to thin data."
"In cluster analysis, what defines an 'interval' attribute?",A continuous linear scale divided into equal intervals.
How does an 'ordinal' attribute differ from a 'nominal' attribute?,"Ordinal states have a meaningful sequence or rank, while nominal states are unordered."
What is a 'binary' attribute in the context of data mining?,A nominal attribute that possesses only two possible states.
"In the $k$-means or PAM algorithm, what is a 'medoid'?",The most centrally located representative object within a specific cluster.
The hierarchical clustering approach that starts with as many clusters as objects and merges them is called _____ clustering.,Agglomerative
What is 'constructive clustering analysis'?,Transforming original description spaces into higher-level concept spaces to reveal stronger data regularities.
"In data mining, what is the purpose of 'boosting'?",To increase model power by weighting and combining predictions from multiple classifiers.
Term: Drill-down analysis,Definition: A technique that begins with a broad variable and progressively exposes more detailed layers of the data.
What is 'brushing' in exploratory data analysis?,A technique where a user manually selects specific data points on an interactive display for visualisation.
"According to the informatics text, a data mining model consists of a mining structure plus an _____.",Algorithm
What is the 'sampling distribution' of the mean?,The frequency distribution of sample means calculated from many samples of the same size.
The measure of how precisely a population mean is estimated by a sample mean is called the _____.,Standard error
"In clinical trials, what does a $P$-value typically represent?",The probability that the observed difference occurred by chance alone under the null hypothesis.
How is 'cumulative incidence' (or risk) calculated?,The number of new cases divided by the number of persons initially at risk during a specified period.
Term: Prevalence,Definition: The proportion of a population found to have a condition at a specific point in time.
"In a $2 \times 2$ table, what is the 'risk ratio' ($RR$)?",The risk of the outcome in the exposed group divided by the risk in the unexposed group.
"What is the formula for the 'odds ratio' ($OR$) in a $2 \times 2$ table with cells $d_1, h_1, d_0, h_0$?",$OR = \frac{d_1 \times h_0}{d_0 \times h_1}$
Why is the odds ratio used instead of the risk ratio in case-control studies?,"The total population at risk is unknown, making it impossible to calculate direct risks."
"In matched case-control studies, what are 'concordant pairs'?",Pairs where both the case and the control have the same exposure status.
Which statistical test is appropriate for comparing two proportions in a paired (matched) study?,McNemar's $\chi^2$ test.
The standard regression method used for analysing individually matched case-control studies is _____ logistic regression.,Conditional
"In a Poisson regression model, what is the 'offset' variable used to represent?",The total exposure time or person-years at risk for each observation.
What is 'direct standardisation'?,Applying study-specific rates to a standard population to derive an adjusted summary rate.
Term: Standardised Mortality Ratio ($SMR$),Definition: The ratio of the number of deaths observed in the study population to the number expected if standard rates applied.
