What is the primary purpose of statistical standardisation when comparing mortality rates between different populations?,"To produce comparable measures by adjusting for differences in population composition, such as age and sex structure."
"In the context of population health, overall rates that have not been adjusted for confounders are known as _____ rates.",crude
What are the two primary methods used for statistical standardisation?,Direct standardisation and indirect standardisation.
Which method of standardisation involves applying the age-sex specific rates of the study populations to a single standard population?,Direct standardisation.
Term: Direct Standardisation,Definition: A method where age-specific rates from study groups are applied to a standard population to calculate a summary adjusted rate.
Which method of standardisation applies the age-sex specific rates of a standard population to the composition of the study populations?,Indirect standardisation.
"In indirect standardisation, what is the resulting measure called when the observed deaths are divided by the expected deaths?",Standardised Mortality Ratio ($SMR$).
What is the formula for the Standardised Mortality Ratio ($SMR$)?,$SMR = \frac{\text{observed number of deaths}}{\text{expected number of deaths}}$
"If a study population has an $SMR$ of 1.0 compared to a standard population, what does this indicate?","The risk of death in the study population is exactly the same as in the standard population, after adjusting for age and sex."
An $SMR$ of 3.1 suggests that the study population is _____ times more likely to die than the standard population.,3.1
Under what condition is direct standardisation preferred over indirect standardisation?,When age-sex specific rates for the study populations are available and based on large enough numbers to be accurate.
When is indirect standardisation typically used instead of direct standardisation?,When the age-specific rates of the study populations are unavailable or based on very small numbers of events.
Identify one of the three common choices for a 'standard population' in direct standardisation.,"A census population from a local area or country (e.g., the total study population)."
The formula for an age-standardised rate using direct standardisation is $\frac{\sum (w_i \cdot l_i)}{\sum w_i}$. What does $l_i$ represent?,The age-specific rate in age group $i$ of the population of interest.
"In the direct standardisation formula, what does the weight $w_i$ represent?",The number of individuals or person-years in age group $i$ of the standard population.
What assumption is made when using standardisation to compare groups?,"The patterns of change in rates across individual strata (e.g., age groups) are similar between the populations."
How is the expected number of deaths ($E_i$) calculated for a specific age group in indirect standardisation?,By multiplying the age-specific mortality rate of the standard population by the number of people in that age group in the study population.
What is the formula for the Error Factor ($EF$) used to calculate the $95\%$ confidence interval of an $SMR$?,"$EF = \exp(1.96 / \sqrt{d})$, where $d$ is the total observed number of deaths."
"To calculate a $95\%$ confidence interval for an $SMR$, the lower limit is $SMR / EF$ and the upper limit is _____.",$SMR \cdot EF$
How can an age-sex adjusted mortality rate be derived from an $SMR$?,By multiplying the $SMR$ by the crude mortality rate of the standard population.
Which statistical regression model can be used to perform indirect standardisation and estimate $SMR$s?,Poisson regression.
"When using Poisson regression for indirect standardisation, how is the $SMR$ calculated from the output?",$SMR = \exp(\text{regression coefficient for the constant term})$.
"In direct standardisation, the standard error of the adjusted rate depends on the number of _____ in each age group of the study population.",events (or deaths)
Why might a child's weight be analysed using $z$-scores based on reference curves rather than raw weight?,To allow for comparison against a standard population regardless of the child's age or sex.
Term: $z$-score (Standard Normal Deviate),Definition: A measure of how many standard deviations an observation is above or below the population mean. Formula: $z = \frac{x - \mu}{\sigma}$.
What population size is typically required to calculate a statistically stable rate for common events in a geographic area?,"At least 25,000 people."
"In epidemiology, why are larger populations desirable when examining rare events like HIV infection?",To ensure the calculated rates are statistically stable and not subject to extreme random variation.
