What is a binary variable in the context of medical outcomes?,"A variable where the value for each individual is one of two alternatives, such as disease present or absent."
How is 'risk' (cumulative incidence) defined in a medical study?,The probability that a disease event occurs during a specified period of time.
What is the mathematical formula for estimating sample risk ($p$)?,"$p = \frac{d}{n}$, where $d$ is the number of subjects with the event and $n$ is the total sample size."
Term: Frequentist Definition of Probability,The proportion of times an event occurs in a large number of similar repeated trials.
What is the numerical range for a probability value?,A value between $0$ and $1$ (or $0\%$ and $100\%$).
How is the 'odds' of an event $A$ defined in terms of probability?,$Odds(A) = \frac{prob(A)}{1 - prob(A)}$.
"If the probability of an event is $0.5$, what are the odds?",The odds are $1$.
How do you calculate probability ($p$) when the odds are known?,$p = \frac{Odds}{1 + Odds}$.
What happens to the difference between odds and probability when the probability is less than $0.1$?,The odds and the probability become very close in value.
What is the maximum possible value for the odds of an event?,Infinity ($\infty$).
"In a $2 \times 2$ contingency table, what is the standard formula for 'Risk Difference'?","$p_1 - p_0$, where $p_1$ is the risk in the exposed group and $p_0$ is the risk in the unexposed group."
Formula: Risk Ratio ($RR$),"$RR = \frac{p_1}{p_0}$, the ratio of the risk in the exposed group to the risk in the unexposed group."
"Formula: Odds Ratio ($OR$) in a $2 \times 2$ table with cell counts $d_1, h_1, d_0, h_0$","$OR = \frac{d_1 \times h_0}{d_0 \times h_1}$, where $d$ represents cases and $h$ represents healthy individuals."
What does a Risk Ratio of $1$ indicate regarding the association between exposure and outcome?,It indicates no association between the exposure and the disease.
"If a Risk Ratio is less than $1$, what does this suggest about the exposure?",It suggests the exposure may be protective against the outcome.
Why is the Risk Ratio generally preferred over the Risk Difference as a measure of the strength of association?,The factor by which an exposure multiplies risk is interpretable regardless of the baseline risk size.
How is the Odds Ratio ($OR$) related to the Risk Ratio ($RR$) when the outcome is rare?,The Odds Ratio is approximately equal to the Risk Ratio.
"When a Risk Ratio ($RR$) is greater than $1$, what is the typical relationship between the $RR$ and the corresponding Odds Ratio ($OR$)?",The Odds Ratio will be greater than the Risk Ratio ($OR > RR$).
Under what condition is the Risk Ratio constrained to a maximum value?,"When the outcome is common, because a probability cannot exceed $1$."
What is the primary advantage of using the Odds Ratio for the analysis of case-control studies?,The Odds Ratio of exposure in cases versus controls is equivalent to the Odds Ratio of disease in exposed versus unexposed.
"How is the symmetry of the Odds Ratio maintained when swapping the outcome definition (e.g., disease vs. healthy)?",The $OR$ for the occurrence of disease is the reciprocal of the $OR$ for the non-occurrence of disease ($1/OR$).
Why are confidence intervals for ratio measures (like $RR$ or $OR$) calculated on a log scale?,"Because the sampling distribution of the ratio itself is skewed, whereas the distribution of the log ratio is more symmetric."
